codigo_dane,año_semestre,establecimiento,matriculados,registros,presentes,publicados,puntaje_global,puntaje_lectura,puntaje_matematicas,puntaje_sociales,puntaje_naturales,puntaje_ingles,grado,comuna,prestacion_servicio,ponderado_global,ponderado_lectura,ponderado_matematicas,ponderado_sociales,ponderado_naturales,ponderado_ingles,punt_global_med,punt_lectura_med,punt_matematicas_med,punt_sociales_med,punt_naturales_med,punt_ingles_med,punt_global_sector,punt_lectura_sector,punt_matematicas_sector,punt_sociales_sector,punt_naturales_sector,punt_ingles_sector,punt_global_comu,punt_lectura_comu,punt_matematicas_comu,punt_sociales_comu,punt_naturales_comu,punt_ingles_comu
305001021821,20142,col gente unida jovenes por la paz-santo domingo,66,66,64,63,240,50,49,48,46,46,11, popular,contratacion,15120,3150,3087,3024,2898,2898,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,245.5268318,50.3121775,49.02167183,49.10732714,48.25335397,48.32610939,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
305001022194,20142,col fe y alegria santa maria,31,31,29,29,238,49,48,47,47,47,11, popular,contratacion,6902,1421,1392,1363,1363,1363,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,245.5268318,50.3121775,49.02167183,49.10732714,48.25335397,48.32610939,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
305001022496,20142,institución educativa pequeña maria,73,73,73,73,232,48,46,47,45,46,11, popular,contratacion,16936,3504,3358,3431,3285,3358,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,245.5268318,50.3121775,49.02167183,49.10732714,48.25335397,48.32610939,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
105001007919,20142,col sagrada familia aldea pablo vi,38,38,38,38,246,53,47,50,47,49,11, popular,contratacion,9348,2014,1786,1900,1786,1862,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,245.5268318,50.3121775,49.02167183,49.10732714,48.25335397,48.32610939,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
105001012700,20142,inst educ san pablo,81,81,79,78,247,51,49,50,48,47,11, popular,oficial,19266,3978,3822,3900,3744,3666,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
105001007218,20142,inst educ maria de los angeles cano marquez,128,126,125,124,252,51,51,51,49,49,11, popular,oficial,31248,6324,6324,6324,6076,6076,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
305001015287,20142,inst educ la candelaria,82,81,79,78,249,53,49,51,47,48,11, popular,oficial,19422,4134,3822,3978,3666,3744,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
105001019305,20142,inst educ la avanzada,27,26,25,25,239,49,47,49,47,46,11, popular,oficial,5975,1225,1175,1225,1175,1150,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
105001001805,20142,inst educ fe y alegria popular nro. 1,83,78,73,72,227,47,46,44,44,46,11, popular,oficial,16344,3384,3312,3168,3168,3312,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
305001020094,20142,col emaus,105,104,103,103,249,52,49,50,48,50,11, popular,contratacion,25647,5356,5047,5150,4944,5150,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,245.5268318,50.3121775,49.02167183,49.10732714,48.25335397,48.32610939,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
105001014052,20142,inst educ nuevo horizonte,77,68,68,67,239,49,47,48,47,49,11, popular,oficial,16013,3283,3149,3216,3149,3283,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
105001011690,20142,inst educ federico carrasquilla,46,46,46,46,251,52,50,51,48,49,11, popular,oficial,11546,2392,2300,2346,2208,2254,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
105001012165,20142,inst educ guadalupe,24,59,57,57,235,48,45,48,47,48,11, popular,oficial,13395,2736,2565,2736,2679,2736,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,254.830114,52.58432276,50.5915884,50.97235513,50.04276685,50.05972001,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
105001021369,20142,esc barrio san nicolas-en administracion(ac),21,21,21,20,275,57,55,55,54,53,11, popular,contratacion,5500,1140,1100,1100,1080,1060,263.257481,53.96170752,52.40262046,52.37218935,51.80143702,52.93516484,245.5268318,50.3121775,49.02167183,49.10732714,48.25335397,48.32610939,244.0558016,50.49069973,48.45792737,49.18689105,47.425155,47.94154119
